group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encoding chip8 rom,,,,,100484583.0,ns,1
encoding chip8 rom,,,,,94893165.0,ns,1
encoding chip8 rom,,,,,94939255.0,ns,1
encoding chip8 rom,,,,,94987319.0,ns,1
encoding chip8 rom,,,,,94864537.0,ns,1
encoding chip8 rom,,,,,94911485.0,ns,1
encoding chip8 rom,,,,,95578468.0,ns,1
encoding chip8 rom,,,,,95600463.0,ns,1
encoding chip8 rom,,,,,94941601.0,ns,1
encoding chip8 rom,,,,,94861196.0,ns,1
encoding chip8 rom,,,,,95023038.0,ns,1
encoding chip8 rom,,,,,95030847.0,ns,1
encoding chip8 rom,,,,,95329529.0,ns,1
encoding chip8 rom,,,,,95033093.0,ns,1
encoding chip8 rom,,,,,94996565.0,ns,1
encoding chip8 rom,,,,,95041939.0,ns,1
encoding chip8 rom,,,,,97093835.0,ns,1
encoding chip8 rom,,,,,95329498.0,ns,1
encoding chip8 rom,,,,,94966290.0,ns,1
encoding chip8 rom,,,,,94786638.0,ns,1
encoding chip8 rom,,,,,94760392.0,ns,1
encoding chip8 rom,,,,,94807073.0,ns,1
encoding chip8 rom,,,,,94774838.0,ns,1
encoding chip8 rom,,,,,94781841.0,ns,1
encoding chip8 rom,,,,,94868728.0,ns,1
encoding chip8 rom,,,,,94912857.0,ns,1
encoding chip8 rom,,,,,95092223.0,ns,1
encoding chip8 rom,,,,,94855119.0,ns,1
encoding chip8 rom,,,,,95227691.0,ns,1
encoding chip8 rom,,,,,94877460.0,ns,1
encoding chip8 rom,,,,,94707306.0,ns,1
encoding chip8 rom,,,,,94689707.0,ns,1
encoding chip8 rom,,,,,94963179.0,ns,1
encoding chip8 rom,,,,,94766380.0,ns,1
encoding chip8 rom,,,,,94775019.0,ns,1
encoding chip8 rom,,,,,94934180.0,ns,1
encoding chip8 rom,,,,,95095440.0,ns,1
encoding chip8 rom,,,,,94934256.0,ns,1
encoding chip8 rom,,,,,95309314.0,ns,1
encoding chip8 rom,,,,,95649201.0,ns,1
encoding chip8 rom,,,,,95694528.0,ns,1
encoding chip8 rom,,,,,95261954.0,ns,1
encoding chip8 rom,,,,,95099680.0,ns,1
encoding chip8 rom,,,,,95204829.0,ns,1
encoding chip8 rom,,,,,94990441.0,ns,1
encoding chip8 rom,,,,,95033649.0,ns,1
encoding chip8 rom,,,,,95280972.0,ns,1
encoding chip8 rom,,,,,95298077.0,ns,1
encoding chip8 rom,,,,,95755455.0,ns,1
encoding chip8 rom,,,,,95410874.0,ns,1
encoding chip8 rom,,,,,94937096.0,ns,1
encoding chip8 rom,,,,,95004409.0,ns,1
encoding chip8 rom,,,,,95112681.0,ns,1
encoding chip8 rom,,,,,95053085.0,ns,1
encoding chip8 rom,,,,,94902451.0,ns,1
encoding chip8 rom,,,,,94891270.0,ns,1
encoding chip8 rom,,,,,95067340.0,ns,1
encoding chip8 rom,,,,,95079537.0,ns,1
encoding chip8 rom,,,,,94926247.0,ns,1
encoding chip8 rom,,,,,95538071.0,ns,1
encoding chip8 rom,,,,,95281207.0,ns,1
encoding chip8 rom,,,,,95113484.0,ns,1
encoding chip8 rom,,,,,95000213.0,ns,1
encoding chip8 rom,,,,,95109230.0,ns,1
encoding chip8 rom,,,,,94991163.0,ns,1
encoding chip8 rom,,,,,94990499.0,ns,1
encoding chip8 rom,,,,,95203881.0,ns,1
encoding chip8 rom,,,,,95088379.0,ns,1
encoding chip8 rom,,,,,97396982.0,ns,1
encoding chip8 rom,,,,,95601099.0,ns,1
encoding chip8 rom,,,,,95553799.0,ns,1
encoding chip8 rom,,,,,95081953.0,ns,1
encoding chip8 rom,,,,,95194405.0,ns,1
encoding chip8 rom,,,,,95166430.0,ns,1
encoding chip8 rom,,,,,95308145.0,ns,1
encoding chip8 rom,,,,,95014059.0,ns,1
encoding chip8 rom,,,,,95347087.0,ns,1
encoding chip8 rom,,,,,95539267.0,ns,1
encoding chip8 rom,,,,,95222889.0,ns,1
encoding chip8 rom,,,,,95306226.0,ns,1
encoding chip8 rom,,,,,95626643.0,ns,1
encoding chip8 rom,,,,,95693287.0,ns,1
encoding chip8 rom,,,,,95117421.0,ns,1
encoding chip8 rom,,,,,95136385.0,ns,1
encoding chip8 rom,,,,,95190305.0,ns,1
encoding chip8 rom,,,,,95097193.0,ns,1
encoding chip8 rom,,,,,95172115.0,ns,1
encoding chip8 rom,,,,,95151744.0,ns,1
encoding chip8 rom,,,,,95163621.0,ns,1
encoding chip8 rom,,,,,95327188.0,ns,1
encoding chip8 rom,,,,,96007142.0,ns,1
encoding chip8 rom,,,,,95891271.0,ns,1
encoding chip8 rom,,,,,95229004.0,ns,1
encoding chip8 rom,,,,,95773966.0,ns,1
encoding chip8 rom,,,,,95138117.0,ns,1
encoding chip8 rom,,,,,95275068.0,ns,1
encoding chip8 rom,,,,,95120415.0,ns,1
encoding chip8 rom,,,,,95173113.0,ns,1
encoding chip8 rom,,,,,95302995.0,ns,1
encoding chip8 rom,,,,,95336016.0,ns,1
